Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,35.4747304458985,31.4805825242718
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,30.6963699430194,31.1910849579769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mongolia,MNG,58.1647822763909,59.2172331810747
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Montenegro,MNE,42.8750002680603,43.8466414367843
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,33.8284373726717,34.093057468891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,44.8700028830136,32.2683615129458
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Myanmar,MMR,28.3597133642041,30.3897507155071
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,35.8825652135406,36.400882444122
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nauru,NRU,54.4378698224852,60.5714285714286
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nepal,NPL,7.81564102171194,7.77993647454519
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Netherlands,NLD,84.6834636757465,82.5377127008628
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Caledonia,NCL,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Zealand,NZL,27.8786275719963,27.3194681045117
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nicaragua,NIC,42.2772872266654,44.8045000879666
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Niger,NER,11.8352698611252,11.4217334486184
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nigeria,NGA,15.4968891804996,14.2209267912443
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Northern Mariana Islands,MNP,50.7302075326672,42.3370025402202
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,38.2210272883516,36.640925320627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Oman,OMN,50.6213051386994,49.492016987897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pakistan,PAK,8.58179970762808,9.39086337877951
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Palau,PLW,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Panama,PAN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Papua New Guinea,PNG,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Paraguay,PRY,36.8532235364499,36.0872909434475
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,25.1921846722472,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,30.2136053733275,28.3829200126393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,52.7480289263233,53.1953356183897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,43.4457190264876,43.5084218458323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico,PRI,59.9538818579193,60.5788840862048
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,55.9418631716143,52.1888599272409
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,41.5417472926055,40.2001946616386
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,30.7932568020743,28.4334306799759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,21.1110690658496,21.830984704611
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,31.9656782036393,35.033330142378
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,San Marino,SMR,166.597497668983,163.997239164221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sao Tome and Principe,STP,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,37.1985133299637,34.0891908114192
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,22.9490914783308,24.9831341973865
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Serbia,SRB,50.4345612977047,51.0109231509171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Seychelles,SYC,97.8178448525991,93.5458627871567
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sierra Leone,SLE,17.4673004044489,18.2469355821227
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,177.350436934209,175.594437290153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sint Maarten (Dutch part),SXM,67.4835061262959,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,95.8358511444373,91.9101004487215
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,84.7926764008035,83.6994379796493
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Solomon Islands,SLB,42.1250947423813,36.5010311212278
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Somalia,SOM,19.1086065573971,17.4402467232074
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,27.5626402113948,27.2974712844242
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Sudan,SSD,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,35.1450626692993,34.9069018147542
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sri Lanka,LKA,21.4462486145463,21.8235328949703
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Kitts and Nevis,KNA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Lucia,LCA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Martin (French part),MAF,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Vincent and the Grenadines,VCT,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sudan,SDN,7.65020198466392,8.45298341762853
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Suriname,SUR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eswatini,SWZ,40.4318355807961,45.9448354773012
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sweden,SWE,45.6830615126713,47.8092109523511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Switzerland,CHE,67.4781861031999,66.9653936798419
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Syrian Arab Republic,SYR,14.9170277126093,13.0100664640827
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tajikistan,TJK,14.3754784742862,14.9799392742745
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tanzania,TZA,14.7391433931711,16.0367461484986
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Thailand,THA,64.838096899332,59.5188906218859
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Timor-Leste,TLS,2.91672440204953,21.3646081272963
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Togo,TGO,24.644391572992,24.2251202181369
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tonga,TON,21.4120288357904,21.9718329230219
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Trinidad and Tobago,TTO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tunisia,TUN,45.4857481712255,45.9503306922947
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkiye,TUR,31.1528780813097,32.5272015787758
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkmenistan,TKM,29.8999852816462,25.2999592946999
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turks and Caicos Islands,TCA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tuvalu,TUV,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uganda,UGA,15.0870530613121,17.1090580169176
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ukraine,UKR,45.2352356625927,41.2316912560049
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Arab Emirates,ARE,91.994776867123,96.6641687524381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,31.2349066704984,31.2576060558948
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,12.3609892157496,11.8724701148898
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uruguay,URY,26.500573202942,27.8103969981142
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uzbekistan,UZB,26.8410539292225,28.2980025068381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Vanuatu,VUT,41.596872147025,50.3452768729642
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Venezuela, RB",VEN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Viet Nam,VNM,84.4234575852164,85.1575903051692
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Virgin Islands (U.S.),VIR,53.1361550229475,55.0157881952878
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,West Bank and Gaza,PSE,15.961564454493,15.5210552426533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Yemen, Rep.",YEM,6.05657010178069,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zambia,ZMB,37.9574045480394,34.6361926031881
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zimbabwe,ZWE,26.1639731327864,27.1634588811092
